Horodateur,What language do you speak? (Check all that apply),Gender?,Age (in years),Height (in cm),Weight (in kg),How far would you have to come to join the wedding?,How would you qualify your relationship with: [Abed Alrahman],How would you qualify your relationship with: [Dania]
12/06/2021 08:27:19,Arabic,Male,53,176,110,201+ Km,Family,Family
12/06/2021 09:03:43,Arabic,Male,11,143,32,201+ Km,Family,Family
12/06/2021 10:21:15,French,Female,26,160,69,1-10 Km,Who?,Family
12/06/2021 10:26:56,"English, French",Female,26,163,56,11-30 Km,Who?,Close Friend
12/06/2021 13:18:53,"English, French, Arabic",Female,26,170,55,1-10 Km,Who?,Close Friend
12/06/2021 17:10:25,"English, French, Arabic",Male,18,180-ish,59(?),201+ Km,Who?,Family
14/06/2021 14:05:05,Arabic,Female,23,165,68,201+ Km,Family,Family
15/06/2021 19:36:38,French,Female,26,167,62,1-10 Km,Who?,Close Friend
